INPUT:text,OUTPUT:disgust_rage,OUTPUT:fear_surprise,OUTPUT:shame_excitement,OUTPUT:enjoyment_distress,ASSIGNMENT:assignment_id,ASSIGNMENT:worker_id
"Я настолько одинока, что ставлю в стаканчик в ванной еще одну зубную щетку, что гостевые тапочки в квартире покрылись слоем пыли и мха, что мобильник я заряжаю реже один раз в неделю и в моем списке контактов почти никого нет.Зато у меня 1137 друзей Вконтакте!",-3,0,-5,0,0000c85e32--5eaeb001f5224e5bff33d7a3,adc710369078cbdfb695d90fb67638f1
,,,,,,
"Хочу сказать спасибо всем работодателям,не принявшим меня на работу по специальности. Благодаря вам, я получила хороший толчок к созданию своего дела. Теперь у меня свой бизнес,который успешно развивается и приносит хороший доход.Самое главное, я не стала рабом системы,а стала воистину хозяйкой своей жизни:)",0,0,5,-5,0000c85e32--5eaeb00202b98e765db99c59,ae6a61a35eed1dcbefc039483f402dc3
,,,,,,
"Бесят коллеги, которые ходят на работу больные. И бесит даже не тот факт, что больные могут заразить, а то, что они требуют от других, чтобы им создавали комфортные условия: окна закрыть и кондиционер не включать, потому что продует. На улице +30, и остальные потом обливаются, дышать нечем — насрать. Больные? Значит, сидите дома, бесите!",3,1,0,0,0000c85e32--5eaeb0020b09457ab57c66fc,b30ad612883f9f2231ff6cb357043ddf
,,,,,,
"В детстве, когда лень было идти в туалет, я ссал прямо на ковер, он всё впитывал и высыхал. Через много лет, когда делали ремонт, сворачивая старый ковер мама, отметив этот тонкий аромат ковра и желтые пятна изнутри, обвинила во всем нашу кошку, а я решил, что спустя столько времени будет забавно поделиться секретом из детства. Мама забавы не увидела и несколько раз переспросила не шучу ли я, смотря на меня, как на ненормального. Сказал, что шучу, конечно, это кошка.",0,4,4,-4,0000c85e32--5eaeb002374b1b71ae02eb45,ecf2f1d5973683b5171249a0463d594c
,,,,,,
"С недавних пор с отвращением смотрю на финики. Как-то раз я откусила добрую часть финика и, начав жевать, почувствовала хруст. Посмотрев на оставшийся финик в руке, я увидела, что он полон жучков...",-5,0,0,0,0000c85e32--5eaeb003213e6d313b94d602,1a168d52efa604d1018ae150dda30863
,,,,,,
"Сегодня видела, как две бабушки и дедушка шли с тросточками, общались. Они обсуждали, что приготовить, дедушка добавил, что поможет им. В конце бабушка сказала: ""Приготовим вместе вкусный пирог и это будет самое хорошее День Рождение!"" ",3,-2,3,3,0000c85e32--5eaeb0065bcbf14256904dad,92b928484ffacce5013c13714e838aee
,,,,,,
"Когда я была маленькой, был период, когда мы с родителями жили бедно(денег едва хватало на хлеб, что уж говорить о чём-то другом). И я однажды сказала маме такую фразу, будучи пятилетним ребёнком:""Почему у нас постоянно нет денег"". Сейчас мне 18. Живём в достатке. Узнала об этом своём поступке около двух лет назад. Каждый раз, когда об этом вспоминаю, бегу к матери, крепко-крепко её обнимаю и прощу прощения. Никак не могу успокоиться. Очень стыдно и обидно за то, что я заставила испытать маму тогда.",0,0,-5,1,0000c85e32--5eaeb007f3c08d2b7fc77170,88d4ae2462e6e7c1ff2ffda67c0169be
,,,,,,
"Парень 23 года, из достаточно обеспеченной семьи, получил образование в лучшем вузе страны, престижная работа, свой дом, машина, топовая девушка... Вроде, все шло просто замечательно, но я всегда был в поисках своего маленького ""счастья"". Избалованный, скажете вы, но как бы не так... После очередной ""попойки"" с ""друзьями"", я осознал, что искренне несчастен и решил кардинально изменить свою жизнь. С утра собрался и пошел в военкомат. Взяли меня с руками и ногами в одни из самых тяжелых войск. После месяца службы моя ""девушка"" спала со своим бывшим. ""Друзья"" позвонили один раз и то, чтобы узнать, когда будем обмывать присягу. Это был ад, но я почему-то чувствовал себя в своей тарелке. После четырёх месяцев службы я встретил просто прекрасную девушку. Она была начальником отдела. Несмотря на то, что она замужняя и с ребенком, я влюбился по уши и решил, что нужно идти до конца. И вот мы сидим на крыше части, понимая последствия сего бурного романа, и осознаём, что мы никогда не были так счастливы, как в тот момент. Я нашел себя и свое маленькое ""счастье"".   ",-5,-5,2,2,0000c85e32--5eaeb007f5224e5bff33d7c1,5cc294a07528e0e0236788ebf99843ce
,,,,,,
"У меня есть друг, он безумно педантичный, настолько, что у него все dvd, которых оооочень много, за 200, стоят в том порядке, в каком он их купил, а если покупал 2-3 диска за раз, то они стоят в порядке, в каком пробивали на кассе. Прихожу я к нему первый раз в гости (а он у меня уже был не раз), а он: ""Не обращай внимания, у меня бардак, я там зарядку из розетки не вытащил, сейчас уберу, извини"". Так стыдно за свою лень давно не было.   ",1,5,-5,-3,0000c85e32--5eaeb00a213e6d313b94d662,a571af57b7ea31fa09c24006559558f8
,,,,,,
"Недавно сидел в баре у стойки. Рядом села красивая девушка и предложила угостить её выпивкой. У меня было плохое настроение, и, решив, что меня тупо разводят, я отмочил: ""Только при условии, что сейчас ты поедешь со мной, и мы займёмся сексом!"" Спланировав в уме траекторию уклонения от пощёчины, я получил улыбку и ответ: ""Договорились!""С этого момента мир для меня стал выглядеть несколько иначе :)   ",0,4,-4,-4,0000c85e32--5eaeb00b213e6d313b94d667,14e4789cf4d53cfa995d9d27ac587cab
,,,,,,
"Старший брат общительный и очень весёлый парень был. Девушки не обделяли его вниманием, и даже были случаи, когда пьяные друзья мужского пола признавались в симпатии. Среди этих друзей бывал парень, уже многие годы влюбленный в него. Он только посмеивался над всей этой ситуацией, всегда ко всем был добр и чужие чувства старался не обидеть. Два года назад, поехав на глц, брат недооценил свои возможности. В итоге вылетел за ограждения, пролетел 120 метров. Скорая, больница, операции, но он стал инвалидом, прикованным к коляске. Первые полгода были самые сложные: суды с владельцем глц (трасса не соответствует нормам безопасности), брат в депрессии, родители в постоянном стрессе. Начались ссоры в доме, брат пытался покончить с собой, брак родителей был на грани развода. Но в один вечер это все закончилось. Парень, что все эти годы любил брата, просто приехал и забрал его. Вскоре они уехали за границу, где есть шанс поставить его на ноги. И его будто не стало для моих родителей. Они просто не вспоминают его. А мне жутко стыдно за них, они передали брата, просто спихнули заботу о нем на человека, которому он небезразличен.",2,2,-3,2,0000c85e32--5eaeb00c213e6d313b94d66c,02b3d57213d6205c65f6fd03d7790121
,,,,,,
"Когда я был ребенком, в классе 4-м или 5-м, наша учительница предложила всей группой отсылать письма девочке из нашего города, больной раком. Мы  писали ей ободряющте слова и вкладывали каждый по бумажке с отпечатком ладони, измазанной яркой гуашью. Со временем Алина (та самая девочка) стала героиней нашего класса, незримой легендой, ведь мы видели только ее фотографии. Время от времени учительница рассказывала нам о ее реакции на наши новые послания. Алине очень нравилось. Поэтому мы старались усерднее, рисовали для нее забавные картинки. Не помню точно, как долго это продолжалось. Около года. После очередных каникул, на первом уроке учительница попросила тишины и долго сидела за своим столом, пытаясь подобрать слова. Она ходила вокруг да около, растягивала время, стараясь оттянуть тот момент, когда ей все таки пришлось объявить всему классу о смерти Алины. ""И тем не менее, она хотела жить. И благодаря вам тоже"".  После успокаивающих слов нас отпустили домой. Плакали.    ",1,-3,0,4,0000c85e32--5eaeb00c4a88742b274b3b17,3e58ff9879333efb981f792b2d109bab
,,,,,,
"Бесит, когда таксисты/маршрутчики откручивают ручки для поднятия стекол...повелители жизни мляяяя",4,-1,1,1,0000c85e32--5eaeb00d4e83dd1682ad7b3c,287f9080e8c987bfbfbd7e85b1976dc9
,,,,,,
"Всегда составляла план, как воспитать своих детей. Что бы у них было настоящее веселое детство, а не то, что было у меня. Но впервые задумалась о том, что они могут вообще не появиться. Для такого ведь, второй человек нужен.",0,0,5,5,0000c85e32--5eaeb00d6d29ac6d6779ca61,97a04cc471eb6fee971dc9b502fa8e5e
,,,,,,
"Я всю жизнь путешествую. Побывала много где, очень много, НО. Я не заканчивала институт, школу-то еле как закончила, но я счастлива. Я путешествую автостопом, путешествую с друзьями, путешествую попуткой и что бы заработать на жизнь, помогаю людям, а они просто дают, что могут. Кто-то дарит одежду, кто-то угощает едой и все это от души. Может показаться это глупым, мол ""А когда ты будешь старухой, будешь как жить?"", а я не знаю. Я не хочу жить потом, я хочу делать это сейчас.   ",0,0,3,-4,0000c85e32--5eaeb00dabd1990ac4a14c00,257326f3444f5f0ca3c4bf994cf9b6e9
,,,,,,
"Работаю в менеджменте московского цирка под руководством известных артистов. И меня бесит их фан-клуб. Взрослые, казалось бы, женщины, с завышенным чсв, которые смотрят в рот артистам, выпрашивают проходки (по 20 раз в месяц и на топовые места, ага) и дарят артистам всякую хуету из Ашана. Однажды захожу в цирк, а эти фанатки в голос обсирают меня, мол, кто такая. И, о, эти лица, когда они получали очередные проходки у меня. Больше так передо мной никто и никогда не пресмыкался. Отвратительно.",-5,3,0,0,0000c85e32--5eaeb00ee1295a646d05fec1,4d6284b06f643ce7180a7491edc0f612
,,,,,,
"Всегда вздрагиваю, когда еду в автобусе и слышу резкий автомобильный гудок. Все после одного случая на третьем курсе зимой. Ехал после пар домой, стоял посередине автобуса в проходе, и на одном из перекрёстков услышал такой гудок и увидел в окно грузовик, который занесло прям в наш автобус. Единственное, что успел сделать - это с бешеной силой выдернуть девушку с сиденья, куда чуть позже придётся удар грузовика. Девушку больше не видел, а страх остался.",-4,-3,-4,-3,0000c85e32--5eaeb00f53fcae1d62be379f,c79879f38641bacbc6d89359af043a0b
,,,,,,
"У нас в квартире всегда стоял шум и гам. Дети играли в стрелялки на приставке, звуки выстрелов или мотор машин сопровождался лаем собаки, муж ругался, что не может поработать в тишине, на кухне шипел жир со сковороды, я готовила ужин, мальчишки тырили конфеты, слышался их топот, работал телевизор. Мне не хватало покоя, спрятаться даже в ванной надолго не получалось, постоянные вопли и жалобы, что кто-то что-то разбил, а этот кто-то кричит, что это пес и он за ним убирать не будет, а громче всех кричит папа, у которого деловой звонок, а он порезался об осколки и вообще уже опаздывает на встречу, поэтому маме приходится вылезать из пенной ванны и идти разбираться. Сейчас мне ничего, кроме этих разборок с последующим примирением и совместным просмотром кино с пиццей, не надо. Этого больше не повторится, никогда. Месяц назад мой муж забирал детей из школы и попал в аварию. Теперь квартира вымерла, а тишина начала оглушать. Поэтому я включаю телевизоры, центр, радио, обнимаю собаку, закрываю глаза и представляю, что по квартире носятся ребята, а муж все также пытается перекричать их визги, разговаривая по телефону и пытаясь поймать хоть кого-нибудь и отвешать люлей за непослушание, а потом они бегут жаловаться мне.",0,0,0,0,0000c85e32--5eaeb00f8200d44f274874e8,e538849d75cb9d8da7ab96329614ef3f
,,,,,,
"Ясный вечер, длинные тени на асфальте. Я еду за рулём. Впереди, выскочив из-за припаркованного справа фургона, дорогу перебегает мужчина с грудным ребёнком на руках. Подъезжаю к этому фургону и вижу ТЕНЬ, двигающуюся за фургоном к дороге вслед за мужчиной. Наверное собака! Удар по тормозам! Только когда машина, взвыв, встала - увидел максимум в 20 сантиметрах перед бампером девочку лет трёх, забытую папой у машины. Она побежала за ним дальше, а я сидел и думал: ""А если бы был пасмурный день?""   ",0,3,0,-2,0000c85e32--5eaeb00fb9c54d77cfc7abb4,9033620b76b1087a55916b226f7ff5a0
,,,,,,
"У меня есть сестра. Всё детство и всю юность я чувствовала, что родители любят меня больше. Мне доставались лакомые кусочки, мне прощались мелкие оплошности. Сестру же ругали за любую провинность, срывались на ней, ей доставалось меньше внимания и ласки. И нет в мире чувства хуже! Мне было безумно неловко, стыдно перед ней; я чувствовала себя безгранично виноватой. Хотя виноваты были только лишь родители, которые не могли контролировать свои чувства, эмоции, своё поведение.",1,4,-5,5,0000c85e32--5eaeb0122c9ba96adb5ed189,48b24f842b94e7c78b2b0b3759bac245
,,,,,,
"Всегда брала пример с знаменитых актеров, музыкантов и других успешных людей, которые занимались тем делом, которое любили. Думала — вот он, секрет счастья. Но потом вспомнила свою учительницу в художке, которой едва хватало на еду, без семьи, в одном и том же пальто ходила все 7 лет... А все потому, что не послушалась родителей и пошла в художественное училище. Может счастье то и не в деньгах, но в ее глазах я его точно не нашла...",0,3,5,5,0000c85e32--5eaeb012bd782e678a0fe519,109d592515190873f2ea9eb5b96a3ede
,,,,,,
"Я никогда не жила одна, сначала дома, потом в общежитии с двумя соседками, снимала квартиру с девочками. Всегда испытывала страх, что одолеет одиночество. Сейчас пятый месяц, как я осталась в пустой трехкомнатной квартире и... никакого одиночества!Занимаюсь чем душе угодно, радио на всю в пять утра, йога все выходные и никому не надо отвечать на глупые вопросы и вещи всегда валяются, где надо, и не переживаю, что кто-то чистит зубы моей щеткой)))",0,0,5,-3,0000c85e32--5eaeb015b51e2c428a1a9c1e,7b58d94f37fee9ee44cadb9c13f82f8e
,,,,,,
"Была у нас в городе одна бабушка, торговала на улице всяким хламом, вербочки по весне, а так всякие цветочки рассаженные. Как-то видел ее в магазине - что-то долго высчитывала, а потом купила себе пачку молока и полбулки хлеба, собрав мелочь. В общем, по виду сразу стало понятно, что на жизнь ей едва хватает. Сам студент, подрабатываю, денег не много, но хватает, а после разрыва с девушкой появились излишки. Ну и стал я постоянно что-то покупать у этой бабушки, мне это все не нужно, но помочь человеку хотелось, пытался оставить сдачу, но та всегда отказывалась. Купленное, зачастую, приходилось просто выкидывать в ближайшую мусорку. Как-то в очередной раз придя купить что-нибудь у нее, бабуля сказала мне ""Внучек, зачем ты так? Мне подачки не нужны, я еще могу сама денег заработать"" и сунула мне тысячу рублей в руку. Как я понял, она увидела, что я делал с ее товаром. Мне стало не по себе, теперь не прихожу к ней ничего покупать, но подсылаю знакомых.   ",0,0,0,1,0000c85e32--5eaeb0168200d44f27487503,9007d978f10c49a88494f6b2c0217a2c
,,,,,,
"Я могу двигать всеми мышцами тела. Мышцы вагины, груди, ушей, лица, бровей. Могу разжать пальцы на ногах, как на руке могу согнуть любой палец на ноге. Могу делать волну на животе. Ставлю на тело монеты, ложки, утюги, сковородки. Кажется что я уникальна, но это началось с того, что в детстве я перевернулась со спасательным кругом и была без сознания более получаса. То ли дар, то ли что..",1,5,5,-5,0000c85e32--5eaeb01754ccdd0881ce9404,09d841552589c93b9d65d1b2320e43cb
,,,,,,
"Мне 26 лет, я до сих пор девственница и у меня не разу не было парня. Подругам вру, что за мной ухаживают молодые люди. Они думают, что у меня пару раз были отношения и секс. Рассказываю и вру им все в подробностях. Стыдно признаться, что я никому не интересна.",0,-2,-5,5,0000c85e32--5eaeb017abd1990ac4a14c4d,b5a245c0c83e06f442283749987e160c
,,,,,,
"В супермаркете возле дома работает кассир, нерусский мальчик. Он сначала совсем плохо говорил по - русски,  я даже переспрашивала, потому что не понимала. А за полгода стал говорить почти без акцента. Я всегда стараюсь идти к нему на кассу, меня его успех вдохновляет не бросать английский - раз у него получилось, и я смогу!",0,2,5,-4,0000c85e32--5eaeb019ad97062fb1f2cee9,94926a11c0e6ad27fe1f4a788a94a81f
,,,,,,
"Всегда была худющей, как и все женщины в роду по маминой линии. Рост почти 180см, плоская, как доска, угловатая. Пробовала себя в модельном бизнесе, но это дело для меня оказалось слишком ""грязным"". Отучилась и стала работать в салоне красоты. На фоне проблем со здоровьем врач назначил гормоны. И... Я стала поправляться. Нет, меня не разнесло, как корову, но зато у меня появилась грудь и попа. И какое это блаженство, когда почти любая вещь в магазине тебе подходит, а не висит как на вешалке. Не тыкать мужа ночью своими костями, а ощущать мягкие прикосновения. Отвязаться от коллег, которые жалостливо пытаются накормить. Гормоны, спасибо вам!   ",-2,-2,-3,0,0000c85e32--5eaeb019ca83b01307163cd6,92b928484ffacce5013c13714e838aee
,,,,,,
"Я стояла и гладила белье, когда на улице пошел дождь. Не долго думая, выбежала из квартиры, в чем была, и прыгала-плясала под ливнем. Потом, как ни в чем не бывало, вернулась к домашним делам. Мне 29. Счастлива как никогда.",0,0,3,-4,0000c85e32--5eaeb01a0b09457ab57c67c9,f0698ae09fc482a551ae8ec67a752829
,,,,,,
"Спорим с мужем в своей двушке о том, какие функции лучше заказать в новую машину за 2 миллиона и дорого ли отдавать ребенка в сад за 38 тыс. в месяц. Десять лет назад мы снимали комнату и зимой в старых кедах спорили, покупать на ужин дешевые крабовые палочки или пару дешевых сосисок. Наша жизнь не роскошна, но я каждый день становлюсь все счастливее от того, как мы не сдавались и упорно трудились ради этого.",-4,-2,-3,-3,0000c85e32--5eaeb01a4e83dd1682ad7bc8,c79879f38641bacbc6d89359af043a0b
,,,,,,
"Мой брат живет с девушкой, и у них у каждого своя подушка. А я живу один, у меня три подушки, две мои и одна для моего iPhone. Ему на ней удобно, я уверен. Паршивое одиночество:(",1,-1,2,-1,0000c85e32--5eaeb01ab9c54d77cfc7ac00,fdce2ef640b59c0a3cc21bcb93a8b150
,,,,,,
"Некоторые от одиночества спиваются,а я от одиночества становлюсь качком. Живу в спортзале. Девушка.",3,3,-2,5,0000c85e32--5eaeb01aca83b01307163ce1,c3f85804f95529fb113ba9300d1a56ac
,,,,,,
"Часто приходится ездить в поездах, всегда беру верхнюю полку, чтобы СПАТЬ. И меня дико достали ""добренькие"" с нижних полок! Хотите, присоединяйтесь к нам, у нас курица (ага, сомнительной свежести). В карты играть? Поболтать? И когда спуститься сходить в туалет, я тоже решу сама. Господи, ну почему люди в поезде не видят границ и лезут общаться? Найдите себе другого собеседника, вас таких много! Я не сноб и никогда не грублю, но реально за*бали!   ",0,0,0,0,0000c85e32--5eaeb01b8ba97d6d5cad5e05,e538849d75cb9d8da7ab96329614ef3f
,,,,,,
"Завела собаку и стала проводить с ней много времени, как пологается хорошему хозяину. Но я никак не ожидала, что мой муж начнет ревновать и подражать ей, дабы обратить на себя мое ""дражайшее"" внимание. То на полу начнет валяться, то карандаш в зубах принесет. Как бы яйца лизать не начал...",0,2,0,0,0000c85e32--5eaeb01d53fcae1d62be37db,f09b8e1753b29cf19863d2189e10760b
,,,,,,
"Будучи в возрасте 10-12 лет посмотрела с сестрой властелина колец в гоблинском переводе. Там мне таак понравилась фраза ""хочу чаю аж кончаю"", что, не понимая истинного смысла, стала использовать её при любом удобном случае. Искренне не понимала почему мне папа давал подзатыльников) до сих пор стыдно   ",3,5,-5,-2,0000c85e32--5eaeb01e213e6d313b94d745,606541aaf1e461c9989193fd9abd2ff5
,,,,,,
"Утром вылила на новый чёрный жакет полчайника свежезаваренного цветочного чая. Пятно было успешно замыто, одежда досушена феном, а я отправлена на работу. Во время перерыва аж шесть моих коллег-девушек спросили, что за потрясающий парфюм на мне, засыпали комплиментами, а это чай благоухает :)",0,-1,2,-5,0000c85e32--5eaeb020f105d55e0558b9df,9e3f07f75c6ae5339156475cc0fe5dab
,,,,,,
"Даже через пять лет после рождения дочки грудь осталась такой же большой, как и при беременности. Подруги спрашивают: ""Как так вышло?"" Но я никогда не расскажу правду. На самом деле, я до сих пор кормлю грудью. Не ребёнка, а мужа. В курсе только муж, я и мой гинеколог.   ",0,0,0,0,0000c85e32--5eaeb0214e84a1467f52d58d,e538849d75cb9d8da7ab96329614ef3f
,,,,,,
"Шла из магазина, навстречу дедушка какой-то тащил пакеты, видно, что тяжелые, он стонал, а на лице была гримаса боли, я бы помогла, но сама несла полные сумки. Вроде понимаю, что не могла ему помочь, но так гадко на душе,  его стоны в ушах.",2,0,-5,5,0000c85e32--5eaeb021fa4ad71590f12226,12ec70fdfaa81f122e6aa8d9267a40ec
,,,,,,
"Один раз оказалась в шаге от смерти. Мне тогда едва исполнилось 21. Но с тех пор моя жизнь полностью изменилась. Точнее, я изменила её сама. До того момента была стеснительная, нерешительная и всегда боялась, что скажут или подумают люди. А тут вдруг стало как-то пофиг. Бросила учёбу, на которую ходила, потому что так решили родители. Перекрасила волосы, забилась татуировками, начала заниматься собой, спортом и танцами на пилоне, о которых всегда мечтала, но боялась реакции окружающих. Теперь пофиг, кто что скажет - если узнаю, что кто-то обсуждает за спиной - не стесняюсь спросить в глаза, почему в лицо это не говорят. Из-за этого потеряла всех ""подруг"" - они привыкли ко мне другой. А я счастлива. Я теперь не боюсь ничего - пережить можно всё, самое страшное в жизни - это смерть. А смерть - это на самом деле нихрена не страшно.   ",0,0,5,-5,0000c85e32--5eaeb022f5224e5bff33d855,f4a44d8c83306cd72951d19ea61dcb9f
,,,,,,
"Бесит, когда читаешь ночью и резко начинает клонить в сон. Думаешь ""ну еще пару страничек"" и читаешь 20, а когда все же решаешь идти спать, нихрена не засыпается! Пожелайте мне спокойной ночи. До 4х утра.   ",-2,-3,-3,-2,0000c85e32--5eaeb023abd1990ac4a14ce9,c79879f38641bacbc6d89359af043a0b
,,,,,,
"Знакомая страдала страшнейшей эпилепсией. Ни дня без приступов, расшибалась в кровь, никакой жизни, глубокая инвалидность. За ней ухаживала дочь. И так ей стало жалко дочку, что взяла она палатку, пожитки и усвистала с Урала на Кавказ автостопом. В 70 лет. Ехала умирать. И как на свет родилась. Жила в палатке у водопада, даже зимой. Сейчас ей 80, и приступы от силы раз в 2 месяца. Правда, перебралась из палатки в дом:)",0,1,5,5,0000c85e32--5eaeb024f234df3102e4fb7d,cc4ae9f8b9ecef0c45debe26e5a81e01
,,,,,,
"Я всегда был толстым. Сейчас всё иначе. Правильное питание, спорт и всё тому подобное. И какой же, мать его, кайф, когда ты садишься (не важно куда) и тебе не надо втягивать живот, чтобы он не выглядел как как арбуз. Вот это ощущения, вот оно того стоит!)",0,0,0,0,0000c85e32--5eaeb0256d29ac6d6779cb1f,35fd0eefae33abd4158c3b7ddbeb496f
,,,,,,
У моих презервативов заканчивается срок годности. Использовать их не с кем.,0,0,0,0,0000c85e32--5eaeb026f5224e5bff33d861,ae6a61a35eed1dcbefc039483f402dc3
,,,,,,
"Я не хочу выходить за муж. Точнее, я не хочу жить с мужчиной в одной квартире. Не смотря на то, что у меня есть любимый мужчина, я не хочу жить с ним вместе. Мама говорит, что я сошла с ума, подруги вступают со мной в дебаты, дабы убедить в неверности моих суждений. А я всего лишь хочу любить своего мужчину , заниматься с ним сексом, общаться с ним, путешествовать, тусоваться ,проводить вместе выходные, заботиться о нем в каких-то моментах, но не жить с ним! Вот что для меня счастье!",2,0,0,0,0000c85e32--5eaeb0274ca08f37842ff003,a4f1b4a7261a3bcc4dba00d9e4abf799
,,,,,,
"написал малознакомой девушке на листике ""I miss you"" и потом кончил не него.сфотографировал,отправил.пишет что в жизни такой мерзости не видела, что я извращенец, но хочет со мной переспать теперь.",0,2,3,-3,0000c85e32--5eaeb027a041f41cb6d8a259,ba0f9aa1418f78e8114b9ecd43e6678a
,,,,,,
"Поужинали, выпили вина. Перед сном я собралась в душ, но дойти до него не успела, потому что меня поймал мой парень, нагнул меня через кресло и хотел трахнуть. Я, такая довольная вся, в предвкушении. Но он не смог, у него упал. Я расстроилась, ну ладно, что ж, бывает, наверное, перебрали с вином. Пошла в душ и там обнаружила, что у меня к жопе бумажка прилипла туалетная. Он ничего не сказал, но мне было очень стыдно выходить из ванной. Обычно я очень чистоплотная.",1,-2,-5,2,0000c85e32--5eaeb029374b1b71ae02ec5b,33e30c087269cb352ef843c6a32ab43d
